Sample	Population code	Population	Superpopulation code	Superpopulation	Source	Latitude	Longitude	Region	Sample Alias	Country	Town	Single_Ancestry
HG00478	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00479	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00500	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00513	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00524	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00525	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00530	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00531	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00533	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00534	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00536	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00537	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00542	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00543	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00551	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0
HG00553	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0
HG00554	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0
HG00556	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00557	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00559	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00560	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00565	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00566	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00580	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00581	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00583	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00584	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00589	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00590	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00592	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00593	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00595	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00596	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00598	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00599	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00607	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00608	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00610	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00611	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
